,OrdereinstellungenAnzahl,GeschaefteAnzahl,GeschaefteKurswert,OrderloeschungenAnzahl,OrderaenderungenAnzahl,KurswertMedian,OrdereinstellungenWertMedian,MarketMakerAnzahl,ISIN,date
244,17,4,13583.0,0,0,2160.0,2000,1,DE000LS8LQ11,2020-12-01
245,444,18,113562.5,0,0,1340.0,10,1,US31188V1008,2020-12-01
246,38,3,3915.5,0,0,1106.0,50,1,CH0043238366,2020-12-01
248,17,3,10060.0,0,0,1660.0,83,1,DE000A2YNT30,2020-12-01
250,10,3,5113.5,0,0,1001.0,6,1,US98887Q1040,2020-12-01
252,129,11,167531.096,0,0,3156.3,280,1,IE0005042456,2020-12-01
253,1,1,510.0,0,0,510.0,1000,1,CA3019501012,2020-12-01
254,2,1,497.0,0,0,497.0,70,1,DE000LS8M1Q5,2020-12-01
256,34,3,1876.2,0,0,632.2,800,1,DE000LS8LQ29,2020-12-01
257,1,1,92.16,0,0,92.16,96,1,DE000LS75SX0,2020-12-01
258,1,1,2470.0,0,0,2470.0,500,1,DE000LS8MT58,2020-12-01
260,10,4,37825.876,0,0,9338.0,344,1,US42824C1099,2020-12-01
261,28,4,2288.1,0,0,470.0,99,1,DE000LS8DZ93,2020-12-01
264,2,1,3679.825,0,0,3679.825,127,1,VGG1890L1076,2020-12-01
265,6,1,2568.75,0,0,2568.75,88,1,IE00B53H0131,2020-12-01
266,152,5,14786.2,0,0,1163.16,1,1,US92532F1003,2020-12-01
267,9,1,578.0,0,0,578.0,1,1,LU1377527517,2020-12-01
270,11,2,5149.2,0,0,3999.6,16867,1,DE000LS764U5,2020-12-01
272,1,1,9871.8,0,0,9871.8,20,1,DE000LS9EEQ5,2020-12-01
273,2,2,234.0,0,0,150.0,50,1,DE000LS8BT44,2020-12-01
274,2,1,10080.0,0,0,10080.0,400,1,JP3388200002,2020-12-01
275,2337,262,1551307.6,0,0,2600.0,34,1,US7170811035,2020-12-01
277,2,1,1546.535,0,0,1546.535,200,1,LU0292108619,2020-12-01
278,8,2,4722.0,0,0,4188.0,15,1,AT0000815402,2020-12-01
279,3,1,270.0,0,0,270.0,100,1,JP3300600008,2020-12-01
280,91,4,3234.0,0,0,312.0,100,1,DE000LS8MT33,2020-12-01
282,19,8,64839.0,0,0,7100.0,100,1,DE000LS7A563,2020-12-01
285,4,1,750.0,0,0,750.0,2500,1,DE000LS8NW60,2020-12-01
287,4,2,1391.4,0,0,851.4,2580,1,DE000LS8PL87,2020-12-01
288,5,2,4902.65,0,0,4517.0,200,1,LU1900067601,2020-12-01
289,8,2,4421.6,0,0,4030.28,1087,1,DE000LS7L4Q1,2020-12-01
290,17,3,41360.118,0,0,435.2,2000,1,LU0659579733,2020-12-01
291,18,4,22964.91,0,0,7590.0,100,1,DE000LS8MT09,2020-12-01
292,3,1,289.24,0,0,289.24,266,1,LU0925589839,2020-12-01
295,3,1,1674.0,0,0,1674.0,40,1,KYG9828G1082,2020-12-01
