,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,date
0,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,2022-01-03
5163,DE000HB02ER0,1,1,914.10,0,0,,,1,2022-01-03
5164,US0401261047,6,1,2005.60,0,0,,,1,2022-01-03
5165,US3793782018,17,9,22246.46,8,0,683.50,,1,2022-01-03
5166,US8305661055,1,1,190.40,0,0,,,1,2022-01-03
5167,DE000TT80272,1,1,250.04,0,0,,,1,2022-01-03
5168,DE000HB02QT0,1,0,0,0,0,,,1,2022-01-03
5169,DE000TT809Z8,3,2,700.00,1,0,350.00,,1,2022-01-03
5170,DE000TT80D06,4,3,4643.91,1,0,999.78,,1,2022-01-03
5171,DE000TT80D14,7,7,3389.10,0,0,524.16,,1,2022-01-03
5172,DE000HB03699,4,3,1394.95,0,0,495.00,,1,2022-01-03
5173,DE000HB036E7,6,6,6685.45,0,0,992.25,,1,2022-01-03
5174,DE000HB03780,2,0,0,2,0,,,1,2022-01-03
5175,DE000HB037U1,1,1,948.72,0,0,,,1,2022-01-03
5176,DE000HB038Q7,1,1,915.00,0,0,,,1,2022-01-03
5177,DE000GX23EW2,6,6,44993.45,0,0,5096.40,,1,2022-01-03
5178,DE000GX23TH1,1,0,0,0,0,,,1,2022-01-03
5179,DE0007760001,3,0,0,2,0,,,1,2022-01-03
5180,LU1681042435,1,0,0,1,0,,,1,2022-01-03
5181,LU1681045610,1,1,970.30,0,0,,,1,2022-01-03
5182,LU2300295123,11,4,5634.73,7,0,745.56,,1,2022-01-03
5183,US63938C1080,13,4,5324.44,8,0,1151.20,,1,2022-01-03
5184,DE000HB03XX6,1,1,551.34,0,0,,,1,2022-01-03
5185,DE000HB03YQ8,1,1,342.00,0,0,,,1,2022-01-03
5186,DE000TT89D80,2,2,89590.00,0,0,44795.00,,1,2022-01-03
5187,DE000TT89DF1,4,4,3335.20,0,0,838.00,,1,2022-01-03
5188,DE000GX25HX8,1,1,2841.74,0,0,,,1,2022-01-03
5189,DE000GX25JD6,4,3,984.50,1,0,331.00,,1,2022-01-03
5190,DE000TT88PX0,1,1,984.00,0,0,,,1,2022-01-03
5191,DE000TT88QF5,2,0,0,1,0,,,1,2022-01-03
5192,DE000GX25V50,2,2,1959.38,0,0,979.69,,1,2022-01-03
5193,DE000GX25VJ8,1,1,501.16,0,0,,,1,2022-01-03
5194,DE000HB04143,2,1,1104.00,0,0,,,1,2022-01-03
5195,DE000HB04176,1,1,3860.00,0,0,,,1,2022-01-03
5196,DE000HB05HV8,1,0,0,0,0,,,1,2022-01-03
5197,DE000HB04BG5,1,1,2870.00,0,0,,,1,2022-01-03
5198,DE000HB04HG2,1,1,2078.00,0,0,,,1,2022-01-03
5199,DE000HB04LH2,1,0,0,0,0,,,1,2022-01-03
5200,DE000HB04PE0,1,0,0,0,0,,,1,2022-01-03
5201,DE000HB04QG3,2,1,4006.80,0,0,,,1,2022-01-03
5202,DE000HB04R98,1,1,1075.00,0,0,,,1,2022-01-03
5203,CA73044N1042,1,1,595.02,0,0,,,1,2022-01-03
5204,FR0014004L86,4,1,951.50,2,0,,,1,2022-01-03
5205,LU1681048713,1,1,458.70,0,0,,,1,2022-01-03
5206,LU1686832194,1,2,33457.56,0,0,16728.78,,1,2022-01-03
5207,LU1708330235,1,1,52.86,0,0,,,1,2022-01-03
5208,LU1812091350,2,2,82.33,0,0,41.16,,1,2022-01-03
5209,LU1829220133,3,3,6607.95,0,0,826.65,,1,2022-01-03
5210,LU1910940268,1,0,0,1,0,,,1,2022-01-03
5211,LU1974693662,1,1,38.58,0,0,,,1,2022-01-03
5212,LU2056738490,1,0,0,0,0,,,1,2022-01-03
5213,LU2056739464,1,1,392.83,0,0,,,1,2022-01-03
5214,SE0016828511,48,27,35177.73,14,0,290.70,,1,2022-01-03
5215,XS2378483494,1,0,0,0,0,,,1,2022-01-03
5216,DE000HB065Q0,1,1,1058.92,0,0,,,1,2022-01-03
5217,DE000HB067P8,1,0,0,1,0,,,1,2022-01-03
5218,DE000HB06G32,1,0,0,0,0,,,1,2022-01-03
5219,DE000TT89RM7,2,2,76870.00,0,0,38435.00,,1,2022-01-03
5220,DE000HB06Z13,2,1,6296.10,1,0,,,1,2022-01-03
5221,DE000GX28031,2,2,1986.45,0,0,993.23,,1,2022-01-03
5222,DE000GX27N17,1,0,0,0,0,,,1,2022-01-03
5223,DE000GX27XX1,3,3,3180.60,0,0,989.80,,1,2022-01-03
5224,DE000GX28KL1,1,0,0,0,0,,,1,2022-01-03
5225,DE000A3GSUD3,40,27,22564.04,10,0,293.47,,1,2022-01-03
